posted,neighborhood,post title,number bedrooms,sqft,URL,price,neighborhood_simplified
2022-03-15 15:53:00,(Vancouver,2 Bedroom/2 Bathroom Unit @ the Luxurious Fairmont Pacific Rim,2.0,1900.0,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-bathroom-unit-the/7446566055.html,8000,Vancouver
2022-03-15 15:53:00,(Shaughnessy,Luxury 6 Bedroom Mansion in Prestigious Shaughnessy in Vancouver!,6.0,6150.0,https://vancouver.craigslist.org/van/apa/d/vancouver-luxury-bedroom-mansion-in/7457180976.html,26000,
2022-03-15 15:53:00,(Olympic Village,Brand New 2 Bedroom + Flex @ Avenue One in Olympic Village!,2.0,1100.0,https://vancouver.craigslist.org/van/apa/d/vancouver-brand-new-bedroom-flex-avenue/7456510747.html,6000,
2022-03-15 15:53:00,(Dunbar,Contemporary Concrete Villa House Rental Available Now,4.0,3600.0,https://vancouver.craigslist.org/van/apa/d/vancouver-contemporary-concrete-villa/7455581872.html,22000,
2022-03-15 15:53:00,(Surrey Delta,Basment suite,2.0,,https://vancouver.craigslist.org/rds/apa/d/surrey-upper-west-basment-suite/7458759623.html,1800,Surrey
2022-03-15 15:52:00,(Vancouver,Brand New 3 BEDROOM Unit W/ Water View at The Pacific Yaletown,3.0,1600.0,https://vancouver.craigslist.org/van/apa/d/vancouver-brand-new-bedroom-unit-water/7456511107.html,11900,Vancouver
2022-03-15 15:52:00,(Coal Harbour,*Short Term Avail* Luxurious 2 Bedroom @ Cardero with Ocean Views!,2.0,1550.0,https://vancouver.craigslist.org/van/apa/d/vancouver-short-term-avail-luxurious/7456510515.html,9500,
2022-03-15 15:52:00,(Vancouver,FULLY FURNISHED Unit @ Shangri La w/ 280 Degree View of the City!,2.0,1650.0,https://vancouver.craigslist.org/van/apa/d/vancouver-fully-furnished-unit-shangri/7458759220.html,10900,Vancouver
2022-03-15 15:51:00,(Richmond Richmond,Richmond Central area single house with big yard,4.0,2011.0,https://vancouver.craigslist.org/rch/apa/d/richmond-richmond-central-area-single/7454076301.html,3980,Richmond
2022-03-15 15:51:00,"(Ubc, Vancouver City Of Vancouver",Beautiful Park View 1 bed + 1 Flex 1 bath- Nobel Park at UBC Wesbrook,1.0,650.0,https://vancouver.craigslist.org/van/apa/d/vancouver-beautiful-park-view-bed-flex/7453814898.html,2280,Vancouver
2022-03-15 15:51:00,"(Downtown, Vancouver City Of Vancouver",Hotel Georgia Luxury 1  BEDROOM + Den  VIEW unit IN DOWNTOWN,1.0,685.0,https://vancouver.craigslist.org/van/apa/d/vancouver-hotel-georgia-luxury-bedroom/7450102038.html,3250,Vancouver
2022-03-15 15:50:00,(Chinatown City Of Vancouver,"""Ginger"" Bright Studio (ref 177) bruceward.com",,,https://vancouver.craigslist.org/van/apa/d/vancouver-ginger-bright-studio-ref-177/7458758487.html,2200,Vancouver
2022-03-15 15:49:00,(Burnaby Burnaby,**Heart of Metrotown - 2 Bedrooms apartment for rent**,2.0,834.0,https://vancouver.craigslist.org/bnc/apa/d/burnaby-heart-of-metrotown-bedrooms/7458758197.html,2600,Burnaby
