posted,neighborhood,post title,number bedrooms,sqft,URL,price,neighborhood_simplified
2022-03-02 11:25:00,(Breslay Street Tricities,West Coquitlam 2Bed 2Bath condo,2.0,855.0,https://vancouver.craigslist.org/pml/apa/d/coquitlam-west-coquitlam-2bed-2bath/7448799837.html,2500,
2022-03-02 11:24:00,"(Richmond, Bc Richmond",Richmond Center Skytrain 2BR 2BA,2.0,820.0,https://vancouver.craigslist.org/rch/apa/d/richmond-richmond-center-skytrain-2br/7452932245.html,2500,Richmond
2022-03-02 11:24:00,(7428 14Th Avenue Burnaby,1 bedroom + den Townhouse Available April 1 (RP-MR),1.0,639.0,https://vancouver.craigslist.org/bnc/apa/d/burnaby-bedroom-den-townhouse-available/7447457460.html,1850,Burnaby
2022-03-02 11:23:00,"(Basement 1427 Strawline Hill Street, Coquitlam Tricities","1250 sq.ft. Basement suite w/2 bsmt,1bath in Burke Mountain, Coquitlam",2.0,1250.0,https://vancouver.craigslist.org/pml/apa/d/port-coquitlam-north-1250-sqft-basement/7452930214.html,1600,Coquitlam
2022-03-02 11:23:00,(False Creek City Of Vancouver,New Luxury Two-Bedroom- Wilkinson,2.0,654.0,https://vancouver.craigslist.org/van/apa/d/vancouver-new-luxury-two-bedroom/7451967766.html,2900,Vancouver
2022-03-02 11:22:00,(Yaletown City Of Vancouver,Luxury 2 Bedroom Unfurnished Loft-Style Apartment For Rent at Alda,2.0,820.0,https://vancouver.craigslist.org/van/apa/d/vancouver-luxury-bedroom-unfurnished/7452924919.html,2800,Vancouver
2022-03-02 11:21:00,(Downtown Vancouver City Of Vancouver,Vancouver House 17th Floor 1 Bedroom,1.0,705.0,https://vancouver.craigslist.org/van/apa/d/vancouver-vancouver-house-17th-floor/7446877541.html,2600,Vancouver
2022-03-02 11:20:00,( City Of Vancouver,"Bike Storage, 24 hour on-site professional management, LVP flooring",,399.0,https://vancouver.craigslist.org/van/apa/d/vancouver-bike-storage-24-hour-on-site/7449970690.html,1900,Vancouver
2022-03-02 11:20:00,(Collingwood City Of Vancouver,"Van East Collingwood 1 bdrm suite for rent May 1st, 2022",1.0,550.0,https://vancouver.craigslist.org/van/apa/d/vancouver-van-east-collingwood-bdrm/7452930100.html,1950,Vancouver
2022-03-02 11:18:00,(Port Moody Tricities,1& 2 bed apartments at The Springs!,1.0,,https://vancouver.craigslist.org/pml/apa/d/port-moody-2-bed-apartments-at-the/7452928869.html,1388,Port Moody
2022-03-02 11:17:00,(621 East 7Th Ave (Mount Pleasant) City Of Vancouver,1 Bedroom available April 1,1.0,,https://vancouver.craigslist.org/van/apa/d/bedroom-available-april/7452928464.html,1600,Vancouver
2022-03-02 11:17:00,(621 East 7Th Ave (Mount Pleasant) City Of Vancouver,Studio available Apr 1,,,https://vancouver.craigslist.org/van/apa/d/studio-available-apr/7452928203.html,1175,Vancouver
2022-03-02 11:16:00,(Olympic Village City Of Vancouver,Junior 1 Bedroom Condo in Olympic Village! A/C!!,1.0,460.0,https://vancouver.craigslist.org/van/apa/d/vancouver-junior-bedroom-condo-in/7452928016.html,1895,Vancouver
2022-03-02 11:16:00,(South Surrey Delta,2 BED BASEMENT W/ OUTDOOR SPACE IN QUIET AREA,2.0,1100.0,https://vancouver.craigslist.org/rds/apa/d/surrey-bed-basement-outdoor-space-in/7447481920.html,1800,Surrey
2022-03-02 11:15:00,(Vancouver West City Of Vancouver,Superbly Furnished 1BD + 1 BATH | Yaletown- Roundhouse,1.0,620.0,https://vancouver.craigslist.org/van/apa/d/vancouver-superbly-furnished-1bd-bath/7450063243.html,3550,Vancouver
2022-03-02 11:15:00,(Burquitlam Area Near Sfu Tricities,*BRAND NEW* RENOVATED near SFU Great Location Cozy 2BR Available Now,2.0,900.0,https://vancouver.craigslist.org/pml/apa/d/burnaby-brand-new-renovated-near-sfu/7451041802.html,1800,
2022-03-02 11:15:00,(5 Minutes To Burquitlam Skytrain Station Burnaby,*BRAND NEW* RENOVATED near SFU Great Location 2BR Suite Available Now,2.0,900.0,https://vancouver.craigslist.org/bnc/apa/d/burnaby-brand-new-renovated-near-sfu/7451041299.html,1800,Burnaby
2022-03-02 11:15:00,(Centre Richmond Richmond,Penthouse - 2bdrm Marina apartment at Westin Wall Centre 1417 sq. ft,2.0,1417.0,https://vancouver.craigslist.org/rch/apa/d/richmond-penthouse-2bdrm-marina/7451446663.html,3500,Richmond
2022-03-02 11:12:00,(41St Avenue Cross Ontario Street City Of Vancouver,Ground floor individual suite – 29 West 41st Avenue,2.0,450.0,https://vancouver.craigslist.org/van/apa/d/vancouver-ground-floor-individual-suite/7452925542.html,1680,Vancouver
2022-03-02 11:10:00,(North Vancouver North Shore,"5 BR, 3 BA, Beautiful Tudor Style Family Home",5.0,3000.0,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-br-ba-beautiful-tudor/7452924867.html,5990,North Vancouver
2022-03-02 11:10:00,(Vancouver City Of Vancouver,TRENDY MT PLEASANT 2 BEDROOM TOWNHOME,2.0,1250.0,https://vancouver.craigslist.org/van/apa/d/vancouver-trendy-mt-pleasant-bedroom/7452924387.html,3100,Vancouver
2022-03-02 11:06:00,"(Cambie, W King Edward, Queen Elizabeth Park City Of Vancouver",Brand New Sub-Penthouse & Spectacular Views in Vancouver West (AR172),3.0,1600.0,https://vancouver.craigslist.org/van/apa/d/vancouver-brand-new-sub-penthouse/7451985418.html,4500,Vancouver
2022-03-02 11:06:00,"(Vancouver West, Quilchena, Arbutus City Of Vancouver",Top Floor Furnished 1Br 1Ba Elegant Condo at Quilchena Park (AR171),1.0,710.0,https://vancouver.craigslist.org/van/apa/d/vancouver-top-floor-furnished-1br-1ba/7451985271.html,1600,Vancouver
2022-03-02 11:06:00,"(Cambie, W King Edward, Queen Elizabeth Park City Of Vancouver",Gorgeous Brand New 3BR Townhouse in Vancouver Cambie (AR173),3.0,1800.0,https://vancouver.craigslist.org/van/apa/d/vancouver-gorgeous-brand-new-3br/7451985600.html,5000,Vancouver
2022-03-02 11:06:00,"(Vancouver, Downtown, Coal Harbour City Of Vancouver",Award-Winning Luxurious 1BR Condo in Coal Harbour (AR142),1.0,507.0,https://vancouver.craigslist.org/van/apa/d/vancouver-award-winning-luxurious-1br/7451985754.html,2100,Vancouver
2022-03-02 11:06:00,(Vancouver Coal Harbour Downtown City Of Vancouver,"""Fully Furnished 1BR Apartment - Coal Harbour - Vancouver""",1.0,,https://vancouver.craigslist.org/van/apa/d/vancouver-fully-furnished-1br-apartment/7444413332.html,2650,Vancouver
2022-03-02 11:06:00,(Langley Delta,2bedroom+2bath-20487 65 Ave,2.0,713.0,https://vancouver.craigslist.org/rds/apa/d/surrey-2bedroom2bath-ave/7452922101.html,2050,Langley
2022-03-02 11:05:00,(Vancouver City Of Vancouver,Downtown Vancouver beautiful 2 bedroom 2 bathroom + den for rent,2.0,788.0,https://vancouver.craigslist.org/van/apa/d/vancouver-downtown-vancouver-beautiful/7451329712.html,3150,Vancouver
2022-03-02 11:05:00,(Coquitlam Burnaby,Cozy 1 Bed 1 Bath home located just behind Coquitlam Centre,1.0,522.0,https://vancouver.craigslist.org/bnc/apa/d/coquitlam-cozy-bed-bath-home-located/7452921652.html,1800,Coquitlam
2022-03-02 11:05:00,(1615 Trafalgar Street City Of Vancouver,Kitsilano Heritage Building Bachelor suite for April 1st,,500.0,https://vancouver.craigslist.org/van/apa/d/vancouver-kitsilano-heritage-building/7452921512.html,1650,Vancouver
2022-03-02 11:04:00,(Kitsilano City Of Vancouver,1 BR suite - heart of Kits,1.0,700.0,https://vancouver.craigslist.org/van/apa/d/vancouver-br-suite-heart-of-kits/7452920483.html,1600,Vancouver
2022-03-02 11:02:00,(2651 E.18Th Avenue,1 bedroom + den – Laneway House– 2651 E.18th Avenue,1.0,600.0,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-den-laneway-house/7452919882.html,1700,
2022-03-02 11:00:00,( Burnaby,Two bedroom Apartment for rent in Burnaby,2.0,,https://vancouver.craigslist.org/bnc/apa/d/burnaby-two-bedroom-apartment-for-rent/7452909872.html,1200,Burnaby
2022-03-02 10:59:00,(Canada Way,1 Bedroom Brand New Close to BCIT,1.0,,https://vancouver.craigslist.org/bnc/apa/d/burnaby-bedroom-brand-new-close-to-bcit/7452918789.html,1500,
2022-03-02 10:57:00,(Richmond Richmond,""" Monaco at the Palms ""  Concrete Home!",3.0,1633.0,https://vancouver.craigslist.org/rch/apa/d/richmond-monaco-at-the-palms-concrete/7452917321.html,2000,Richmond
2022-03-02 10:56:00,(Richmond Richmond,1 Bedroom Suite (in house) for Rent  (West Richmond),1.0,,https://vancouver.craigslist.org/rch/apa/d/richmond-southwest-bedroom-suite-in/7451958378.html,1300,Richmond
2022-03-02 10:55:00,(4333 Central Boulevard City Of Vancouver,Furnished 2 BR/2 BATH BY METROTOWN**,2.0,830.0,https://vancouver.craigslist.org/van/apa/d/burnaby-furnished-br-bath-by-metrotown/7451886906.html,2500,Vancouver
2022-03-02 10:55:00,(233 Robson Street City Of Vancouver,"Beautiful 3 Bedroom, 2 Bathroom with spectacular view of Coal Harbour",3.0,1100.0,https://vancouver.craigslist.org/van/apa/d/vancouver-beautiful-bedroom-bathroom/7451887175.html,4495,Vancouver
2022-03-02 10:55:00,"(Downtown, Vancouver City Of Vancouver",Hotel Georgia Luxury 1 BEDROOM + Den VIEW unit IN DOWNTOWN,1.0,685.0,https://vancouver.craigslist.org/van/apa/d/vancouver-hotel-georgia-luxury-bedroom/7450870779.html,3350,Vancouver
2022-03-02 10:55:00,"(Vancouver, Bc City Of Vancouver",Renovated 1 Bedroom in Kitsilano,1.0,,https://vancouver.craigslist.org/van/apa/d/vancouver-renovated-bedroom-in-kitsilano/7452916225.html,1450,Vancouver
2022-03-02 10:54:00,( City Of Vancouver,20F 1 bed suite in DT waterfront for Rent!,1.0,484.0,https://vancouver.craigslist.org/van/apa/d/vancouver-20f-bed-suite-in-dt/7452915708.html,2200,Vancouver
2022-03-02 10:54:00,( Burnaby,"Big Bend Area, spacious 2 Bedroom+1 Den House for rent!",2.0,1470.0,https://vancouver.craigslist.org/bnc/apa/d/burnaby-big-bend-area-spacious-bedroom1/7452915610.html,2150,Burnaby
2022-03-02 10:53:00,(Kitsilano City Of Vancouver,Charming 2 Bedrm + 2 Bath Duplex in Kitsilano!!,2.0,1274.0,https://vancouver.craigslist.org/van/apa/d/vancouver-charming-bedrm-bath-duplex-in/7452915479.html,3350,Vancouver
2022-03-02 10:53:00,(Port Coquitlam Tricities,2 bedroom  ground level,2.0,,https://vancouver.craigslist.org/pml/apa/d/port-coquitlam-central-bedroom-ground/7452915432.html,1495,Coquitlam
2022-03-02 10:52:00,(1220 West 6Th Avenue City Of Vancouver,Spacious 2 Bedrooms + 2 Bathrooms UNFURNISHED,2.0,1300.0,https://vancouver.craigslist.org/van/apa/d/vancouver-spacious-bedrooms-bathrooms/7452914719.html,3300,Vancouver
2022-03-02 10:50:00,(Downtown Vancouver City Of Vancouver,2-Bedroom 2-Bathroom on 23rd Floor in Downtown Vancouver!!!,2.0,792.0,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-bathroom-on-23rd/7452913574.html,2750,Vancouver
2022-03-02 10:50:00,( City Of Vancouver,Amazing ocean view Vancouver House 39th floor 1 bedroom Highend Condo,1.0,421.0,https://vancouver.craigslist.org/van/apa/d/vancouver-amazing-ocean-view-vancouver/7452913412.html,2200,Vancouver
2022-03-02 10:49:00,(Yaletown,Furnished Yaletown Studio 20th floor! Amazing View!,,450.0,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-yaletown-studio/7449453000.html,1950,
2022-03-02 10:47:00,( Burnaby,Burnaby Highgate 2 Bed 2 Bath- 17th Floor for Rent!,2.0,829.0,https://vancouver.craigslist.org/bnc/apa/d/burnaby-burnaby-highgate-bed-bath-17th/7452912120.html,2450,Burnaby
2022-03-02 10:45:00,(Ubc City Of Vancouver,Large bachelor suite on UBC campus,,,https://vancouver.craigslist.org/van/apa/d/vancouver-large-bachelor-suite-on-ubc/7452911242.html,1300,Vancouver
2022-03-02 10:45:00,"(5-3551 Kingsway, Vancouver, Bc City Of Vancouver","2 BEDROOM, 2 BATHROOM Apartment! Mountain Views!",2.0,,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-bathroom-apartment/7452911057.html,2300,Vancouver
2022-03-02 10:42:00,(Vancouver City Of Vancouver,2 bedroom basement,2.0,,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-basement/7452909491.html,1800,Vancouver
2022-03-02 10:42:00,"(Yaletown, Downtown City Of Vancouver",UNFURNISHED 1bd+1bth+den unit @the ATELIER;YALETOWN for RENT ASAP!!!,1.0,533.0,https://vancouver.craigslist.org/van/apa/d/vancouver-unfurnished-1bd1bthden-unit/7452863996.html,2100,Vancouver
2022-03-02 10:42:00,(Bidwell At Burnaby Near Beach City Of Vancouver,English Bay VIEW Apartment,1.0,500.0,https://vancouver.craigslist.org/van/apa/d/english-bay-view-apartment/7452909236.html,1850,Burnaby
2022-03-02 10:40:00,(Vancouver City Of Vancouver,Townhouse Apartment ($1850.),2.0,,https://vancouver.craigslist.org/van/apa/d/vancouver-townhouse-apartment-1850/7452908001.html,1850,Vancouver
2022-03-02 10:40:00,(Vancouver City Of Vancouver,Perfect Family Home in Arbutus Ridge,5.0,2414.0,https://vancouver.craigslist.org/van/apa/d/vancouver-perfect-family-home-in/7449846628.html,6800,Vancouver
2022-03-02 10:40:00,(2718 W 20Th Avenue City Of Vancouver,"Perfect Family Home in Arbutus Ridge, Prime Location",4.0,2528.0,https://vancouver.craigslist.org/van/apa/d/vancouver-perfect-family-home-in/7449847033.html,8000,Vancouver
2022-03-02 10:39:00,"(3914 West 31 Avenue, Vancouver, Bc City Of Vancouver",Vancouver Special in Dunbar steps away from Memorial West Park,6.0,2714.0,https://vancouver.craigslist.org/van/apa/d/vancouver-vancouver-special-in-dunbar/7448365688.html,6000,Vancouver
2022-03-02 10:38:00,(Vancouver City Of Vancouver,1BR AVAILABLE APRIL 1ST   (KITSILANO),1.0,650.0,https://vancouver.craigslist.org/van/apa/d/vancouver-1br-available-april-1st/7452907181.html,1850,Vancouver
2022-03-02 10:36:00,"(Fraser St, Vancouver City Of Vancouver",House For Rent Bungalow For Rent 3 Bdrm,3.0,,https://vancouver.craigslist.org/van/apa/d/vancouver-house-for-rent-bungalow-for/7449113716.html,3300,Vancouver
2022-03-02 10:36:00,(Coquitlam Tricities,LEGAL 1 BEDROOM & DEN BASEMENT SUITE AVAILABLE,1.0,550.0,https://vancouver.craigslist.org/pml/apa/d/coquitlam-legal-bedroom-den-basement/7452905781.html,1300,Coquitlam
2022-03-02 10:32:00,(Vancouver Westside ( Dunbar,2 BEDROOM SUITE- DUNBAR/POINT GREY AREA (CLOSE TO UBC),2.0,,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-suite-dunbar-point/7452903492.html,1990,Vancouver
2022-03-02 10:30:00,(Surrey Delta,Well located 1 Bed + 1 Bath Condo with spacious layout,1.0,590.0,https://vancouver.craigslist.org/rds/apa/d/surrey-well-located-bed-bath-condo-with/7452902690.html,1500,Surrey
2022-03-02 10:30:00,(Port Coquitlam Tricities,**2 Bedroom 1 Bath For Rent**,2.0,753.0,https://vancouver.craigslist.org/pml/apa/d/port-coquitlam-bedroom-bath-for-rent/7452902463.html,2100,Coquitlam
2022-03-02 10:29:00,(North Vancouver North Shore,"Pemberton Heights - 2-Bed 1-Bath Condo - Gym, Parking, Balcony",2.0,759.0,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-pemberton-heights-bed/7452902145.html,2150,North Vancouver
2022-03-02 10:29:00,(1388 Continental St City Of Vancouver,Luxury Downtown Granville 1 Bedroom,1.0,566.0,https://vancouver.craigslist.org/van/apa/d/vancouver-luxury-downtown-granville/7447745993.html,2200,Vancouver
2022-03-02 10:28:00,(1388 Continental St City Of Vancouver,Luxury Downtown Granville Studio,,420.0,https://vancouver.craigslist.org/van/apa/d/vancouver-luxury-downtown-granville/7452901543.html,1950,Vancouver
2022-03-02 10:28:00,(Port Coquitlam Tricities,"The Ambrose, Brand New 3 Bed 2 Bath Penthouse 1189 Sq Ft",3.0,1189.0,https://vancouver.craigslist.org/pml/apa/d/port-coquitlam-the-ambrose-brand-new/7452901485.html,3400,Coquitlam
2022-03-02 10:27:00,"(203-2358 York Ave, Vancouver, Bc City Of Vancouver",Beautiful 1 bedroom Garden Apartment in this Amazing Kits Location!,1.0,,https://vancouver.craigslist.org/van/apa/d/vancouver-beautiful-bedroom-garden/7452900708.html,1850,Vancouver
2022-03-02 10:27:00,(North Vancouver North Shore,HUGE ONE BEDROOM IN CAPILANO BUILDING,1.0,785.0,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-huge-one-bedroom-in/7447023268.html,1900,North Vancouver
2022-03-02 10:26:00,(Vancouver City Of Vancouver,"Unfurnished Two Bedroom and Flex Property at Avalon 3, River District",2.0,810.0,https://vancouver.craigslist.org/van/apa/d/vancouver-unfurnished-two-bedroom-and/7450371262.html,2800,Vancouver
2022-03-02 10:26:00,(Vancouver City Of Vancouver,Unfurnished Three Bedroom Property At 1151 Residences Vancouver,3.0,2118.0,https://vancouver.craigslist.org/van/apa/d/vancouver-unfurnished-three-bedroom/7441453460.html,9000,Vancouver
2022-03-02 10:26:00,(4908 Cambie Street City Of Vancouver,"Unfurnished Three Bedroom and Flex Property at Primrose, Q.E. Park",3.0,1054.0,https://vancouver.craigslist.org/van/apa/d/vancouver-unfurnished-three-bedroom-and/7444356735.html,4500,Vancouver
2022-03-02 10:24:00,(Richmond – River Green Two Richmond,Top Class very New Luxury Condo in River Green Two,2.0,1010.0,https://vancouver.craigslist.org/rch/apa/d/richmond-top-class-very-new-luxury/7452899158.html,3050,Richmond
2022-03-02 10:23:00,(Coquitlam,2 BD CORNER UNIT WITH HUGE PATIO AVAILBALE NOW,2.0,1000.0,https://vancouver.craigslist.org/pml/apa/d/coquitlam-bd-corner-unit-with-huge/7452898336.html,2400,Coquitlam
2022-03-02 10:22:00,(Broadmoor Richmond,Richmond Broadmoor Well-Maintained Two Stories Fully Furnished  House,3.0,1200.0,https://vancouver.craigslist.org/rch/apa/d/richmond-west-richmond-broadmoor-well/7452898128.html,3800,Richmond
2022-03-02 10:22:00,(Abbotsford Tricities,"East Abbotsford - Top Floor House, Four-Bed, Two-Bath.  Like New.",4.0,2000.0,https://vancouver.craigslist.org/pml/apa/d/abbotsford-east-east-abbotsford-top/7451158181.html,3395,
2022-03-02 10:20:00,(Richmond Richmond,"$1,880 1br+den 700 sqft - Richmond Central Apt - Quiet, Safe, Friendly",1.0,700.0,https://vancouver.craigslist.org/rch/apa/d/richmond-brden-700-sqft-richmond/7452896898.html,1880,Richmond
2022-03-02 10:19:00,(1590 W. 8Th Avenue - Fairview City Of Vancouver,"STUNNING FURNISHED 945 sq ft 1 bed & den - pool, gym, parking, FEB",1.0,945.0,https://vancouver.craigslist.org/van/apa/d/vancouver-stunning-furnished-945-sq-ft/7443844690.html,3000,Vancouver
2022-03-02 10:19:00,(Fleetwood Delta,2 bedroom suite for rent,2.0,,https://vancouver.craigslist.org/rds/apa/d/surrey-east-bedroom-suite-for-rent/7452896155.html,1500,Delta
2022-03-02 10:18:00,(Surrey Delta,TWO BEDROOM FOR RENT IN SURREY,2.0,1000.0,https://vancouver.craigslist.org/rds/apa/d/surrey-inner-northwest-two-bedroom-for/7452895826.html,1750,Surrey
2022-03-02 10:18:00,(Strathcona City Of Vancouver,Micro Suite For Rent,1.0,200.0,https://vancouver.craigslist.org/van/apa/d/vancouver-micro-suite-for-rent/7446856898.html,1245,Vancouver
2022-03-02 10:18:00,(Clayton Heights - Cloverdale - Langley Delta,2 Bedroom Basement Suite,2.0,,https://vancouver.craigslist.org/rds/apa/d/surrey-northeast-bedroom-basement-suite/7447539490.html,1450,Langley
2022-03-02 10:18:00,"(11675 7Th Ave., Richmond","Amazing Steveston Garry Point Airy Pet Friendly Ocean, Sunset,",1.0,550.0,https://vancouver.craigslist.org/rch/apa/d/richmond-southwest-amazing-steveston/7449964536.html,1725,Richmond
2022-03-02 10:17:00,(Yaletown Downtown Vancouver City Of Vancouver,Seawall Downtown Furnished Water City Mountains View. Huge Patio,1.0,610.0,https://vancouver.craigslist.org/van/apa/d/vancouver-seawall-downtown-furnished/7451594543.html,2595,Vancouver
2022-03-02 10:17:00,(Willoughby Heights Langley Delta,Langley Willoughby Heights Yorkson Townhouse,2.0,1250.0,https://vancouver.craigslist.org/rds/apa/d/langley-langley-willoughby-heights/7451765710.html,2800,Langley
2022-03-02 10:14:00,(Walnut Grove Delta,House in Langley,3.0,1500.0,https://vancouver.craigslist.org/rds/apa/d/langley-house-in-langley/7451718400.html,2600,Delta
2022-03-02 10:14:00,(North Vancouver North Shore,"Million-dollar ocean, Stanley Park and 180 degree City views!",3.0,2500.0,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-million-dollar-ocean/7452893351.html,6500,North Vancouver
2022-03-02 10:13:00,(Burnaby Burnaby,SOLO DISTRICT-ALTUS,3.0,1100.0,https://vancouver.craigslist.org/bnc/apa/d/burnaby-solo-district-altus/7450792900.html,4500,Burnaby
2022-03-02 10:13:00,(Port Moody Tricities,A room with a view! Studio homes at The Springs,,,https://vancouver.craigslist.org/pml/apa/d/port-moody-room-with-view-studio-homes/7452892683.html,1000,Port Moody
2022-03-02 10:12:00,( Delta,3bd / 3bt house with Garage in Clayton Heights,2.0,,https://vancouver.craigslist.org/rds/apa/d/langley-3bd-3bt-house-with-garage-in/7445709968.html,3200,Delta
2022-03-02 10:10:00,(Vancouver City Of Vancouver,Spacious TWO BEDROOM APARTMENT,2.0,,https://vancouver.craigslist.org/van/apa/d/vancouver-spacious-two-bedroom-apartment/7451951441.html,2175,Vancouver
2022-03-02 10:09:00,(Burnaby Burnaby,TOP FLOOR Condo Memento!,2.0,808.0,https://vancouver.craigslist.org/bnc/apa/d/burnaby-top-floor-condo-memento/7452890740.html,1700,Burnaby
2022-03-02 10:05:00,(Surrey Delta,New 2 Bedroom Basement Suite,2.0,1600.0,https://vancouver.craigslist.org/rds/apa/d/surrey-new-bedroom-basement-suite/7451584869.html,1800,Surrey
2022-03-02 10:03:00,( Tricities,Spacious 3 Bed 2 Bath condo near Coquitlam Centre,3.0,1047.0,https://vancouver.craigslist.org/pml/apa/d/port-coquitlam-central-spacious-bed/7451810705.html,2600,
2022-03-02 10:03:00,(Downtown New Westminster Burnaby,1BR SUITE AVAILABLE APR 1 AT ROYAL CITY APARTMENTS!,1.0,,https://vancouver.craigslist.org/bnc/apa/d/new-westminster-1br-suite-available-apr/7452886667.html,1300,New Westminster
2022-03-02 10:03:00,(Cedar Cottage (Knight & 21St) City Of Vancouver,Fully renovated Character Home,3.0,2300.0,https://vancouver.craigslist.org/van/apa/d/vancouver-fully-renovated-character-home/7450937473.html,4395,Vancouver
2022-03-02 10:02:00,(Burnaby Burnaby,- Spectacular view 2 Bedroom Unit Available,2.0,920.0,https://vancouver.craigslist.org/bnc/apa/d/burnaby-spectacular-view-bedroom-unit/7452886487.html,1975,Burnaby
